sentiment,reviews
75,1,excellent reduce speed teaching understand
76,1,teaching ok interaction improve mean focus dull intelligents
77,2,interaction rest perfect
78,2,teacher subjectand punctuality
79,1,fine le btech
80,1,faculty senior
81,2,satisfied
82,2,examination department teaching cant extra time extra knowledge interaction
83,2,well and good
84,1,university management extraordinary faculty bad
85,1,lecture excellent
86,2,learning university
87,1,boring
88,1,teaching partiality south people north people
89,1,teaching teacher interact properly concept properly teacher punctual
90,2,interaction teacher interact lecture delivery punctuality maintains
91,2,satisfied teaching faculty interms interaction lecture delivery punctuality etc
92,0,partiality north indian south indian
93,2,interaction satisfying lecture delivery punctuality excellent
94,0,staff partiality north indian south indian
95,2,excellent university mode teaching completely university friendly interact friend punctual
96,1,lecture delivery punctuality wa interaction wa
97,1,punctuality lecture interaction isnt
98,2,good enough
99,2,university interaction teacher university deliver lecture effectively punctuality university
100,2,indeed
101,2,teaching excellent lecture delivery mark punctuality
102,1,interaction faculty wa faculty
103,2,teaching style
104,2,interaction teacher lecture delivery fine punctuality
105,2,bad
106,2,it quite good
107,1,teaching partiality south people north people
108,1,wa boarding school studied residing hostel living thatand punctuality shown teacher studentsand staff security manured class regular sport dailyparticipation wellquality average
109,2,term regarding university activity
110,2,intraction lecture delivery punctuality
111,2,term regarding university
112,2,term regarding university activity
113,0,teacher experienced unfair baised teacher experience subject
114,2,it is going good
115,1,content course average
116,2,course material provide knowledge depth
117,0,content course perfectly line teaching philosophy perpetuated ie cramming rote learning
118,2,content course improves knowledge
119,2,semester university provide teacher
120,0,improvement
121,1,knowledge depth course coming material mark
122,1,knowledge depth course course material mark
123,2,course content knowledgeable
124,0,content course course improvement course material mark
125,0,material course
126,0,sometimes proper course material required
127,2,easily available course material sufficient knowledge gaining
128,2,material link provided study purpose clarity depth course differs teacher teacher
129,2,course note knowledgeable proper
130,2,content course update based current technology
131,0,teacher giving depth course trying cover
132,2,fine
133,2,appreciable
134,0,book recommended contain appropriate content lead depend slide teacher hence knowledge remains superficial
135,2,awesome
136,2,proper
137,2,course useful
138,2,fine taught depth single elaborated understand
139,2,content
140,2,material provided beneficial provides knowledge
141,2,knowledgeable
142,2,planned
143,2,ok
144,2,content knowledgable huge knowledge subject
145,2,content
146,1,quallity content teacher upload ppts time
147,2,course content
148,2,content course knowledgeable
149,1,subject appropriate depth required syllabus includes basic detail
150,0,course irrelevant related stream
151,0,course irrelevant branch topic covered proper material course
152,2,bad
153,2,course material perfect
154,2,provided helpful
155,1,depth course le hand knowledge material
156,0,content doe provide deep knowledge
157,0,sometime irrelevent course
158,1,average term major subject based numerical
159,1,helpful knowledgeable formality
160,1,knowledgeable subject dedicated material book available
161,2,optimum content
162,0,appropriate
163,2,satisfied knowedgeable proper course material
164,2,practical subject semester
165,0,deep
166,2,course content relevant course
167,1,course structure follows technology subject portion vast difficult cover semester
168,2,content course
169,0,syllabus debth
170,2,course sub providing worth knowledge
171,1,i dont know
172,2,regarding course
173,2,coming course planned depends lecture
174,2,mark
175,1,content course ample depth
176,1,course proper course material
177,0,content course changed bit industry oriented feature implemented proper detailing advanced knowledge required instilled course material
178,2,wa knowledgeable depth course proper course material subject
179,2,increase standard course
180,2,course available university scope teaching course view bringing indulging activity project
181,2,content course basic particular subject
182,1,course subject department st feel burden
183,2,rating
184,1,hard
185,0,syllabus required time le proper concentrate getting knowlegde instead covering syllabusgood
186,0,compared university material exposure
187,0,content course increased depth
188,2,content provided excellent learnt particular subject
189,2,content course appropriate
190,0,content course increase depth
191,0,opinion le content syllabusit syllabus depth included syllabus
192,0,faculty uploading ppts
193,2,learning course
194,0,tough diffcult understand
195,1,yeah faculty teaching schedule university university feedback helpful
196,1,content course depth course concept
197,2,content sufficient
198,1,content course knowledgeable depth course sometimes proper course material
199,2,communication class course
200,2,giving knowledge
201,2,knowledgeable depth course satisfying proper course material
202,2,subject depth book available library
203,2,nice
204,2,material provided university depth course course university knowledgeable
205,2,depth course deep according essential
206,1,subject predictableremaining course satisfactory
207,1,depth course wa providing basic knowledge deep subjectsat provide deep knowledge syllabus core subject
208,2,subject linked real life situation subject
209,1,depth course depended level intake course material delivered class
210,2,pretty
211,0,not good enough we want something more
212,0,le time study le time paper attemtingless time le knowlegeless depth course proper course material according exam
213,1,knowledge maximum gained reading book teacher explain depth
214,0,improve
215,1,tell depth course note
216,2,getting maximum knowledge
217,2,knowledge maximum gained reading book teacher explain concept depth
218,1,fine focus towards practical knowledge content based helpful
219,2,examination pattern
220,2,exam pattern mark depends various mark distribution etc nice compare institution paper checking doe depend length material
221,0,university test ability memorize stuff question emphasize concept testing brain cramming storage house
222,2,question pattern
223,2,university university coming exam pattern mark disturbation coming paper checking biased correction equal
224,2,great
225,2,exam pattern paper checking
226,1,pattern procedure examination paper checking improved
227,2,mark distribution easily check performance throught semester
228,1,exam pattern conducted scrutiny time wa expectation teacher marked answer choice look content length answer poor paper checking
229,2,descent
230,2,exam pattern mark distribution procedure
231,2,statisfactory
232,0,hard arent getting satisfactory result
233,1,except paper checking improved
234,2,overall plus university
235,1,examination pattern mark distribution confusing
236,2,exam pattern mark distribution paper checking tight
237,1,neither bad
238,2,examination pattern mark paper checking
239,0,examination frustrated
240,1,examination
241,2,examination including exam pattern preparation exam
242,0,level examination raised question reasoning included
243,2,fair marking scheme adaptable pattern
244,1,pattern examination paper checking
245,0,negative marking
246,2,all is good
247,2,satisfied
248,2,quite good
249,0,poor
250,2,exam pattern paper checking paper checking improved
251,2,exam pattern mark distribution paper checking varies faculty faculty
252,2,excellent
253,1,mark distribution paper checking
254,0,tough
255,0,bad
256,1,examination pattern paper checking mark correct sometimes
257,0,strict
258,2,pattern
259,0,exam pattern math exam subjective objective
260,0,bad sowing answer exam jiged wrong mistake
261,2,coming examination
262,1,hand lecture mtes etes
263,1,mid term subjective
264,2,exam pattern mark distribution
265,2,examination pattern mark distribution term chance improving
266,1,examination please try question paper
267,2,strict
268,0,not much good
269,1,exam conducting paper correction bad
270,1,examination pattern logic based subjective question based conceptual learning paper checking lucid manner doubt arise checking sheet
271,2,all these are good
272,2,pattern examination
273,1,mid term percentage increased choice success examination
274,2,examination system university impressive sitting plan class exam sometimes block visit block university checking fair
275,2,pretty organised
276,2,very good 
277,0,subject math english passage writing time duration increase
278,1,pattern mark distribution includes mt et attendence little complicated
279,2,probably university examination pattern
280,2,seen type examinationvery pattern
281,0,examination checking suck low mark qustions wrong answer key exam absurd discrepancy system advantageous answer exam uploaded
282,2,it is best
283,0,examination pattern blunder mistakethat alternate check mistake morever question paper discussion suggest provide option checking mistake exam midterm
284,0,time sufficient
285,2,exam pattern
286,1,excellent paper checking
287,0,answer key question paper exam mean recheck answer mistake
288,1,exam pattern nice paper checking
289,1,exam pattern mark distribution excellent sometimes error paper checking
290,1,exam pattern question paper helpful
291,2,exam pattern mark distribution sometimes disappointing paper checking ok
292,2,yeah obviously
293,2,exam pattern completely entire exam objective oriented resumbling education abroad review
294,2,wa
295,1,excellent checking procedure exceptable fail fault mid term
296,2,excellent exam pattern paper checking university easy
297,1,marking system apart
298,0,returning question paper exam expected clarify doubt regarding particular subject
299,2,examination pattern wa excellent
300,2,exam conducted basis revised chapter mark distribution appropriate paper checking
301,1,hard paper main concept paper
302,0,strict paper correction
303,1,super paper checking
304,2,nice timing
305,1,negative marking pattern exam time sufficient question
306,2,exampattern mark distribution paper checking hard
307,2,exam pattern mark distribution paper checking hard
308,1,examination pattern time sufficient question
309,2,pattern efficient evolving
310,1,paper checking hard remaining
311,0,satisfactory lab include technology
312,2,lab properly covered lab faculty evaluation help learn practical knowledge depth
313,2,practical provides detail knowledge theoretical
314,2,fine lab learning
315,0,lab practical mark topic practiced btech
316,0,mark
317,0,lab improves practical knowledge
318,1,sometimes system lab screwed otherwise respected desk
319,2,practical fair
320,2,practical easy learning
321,0,evaluation bad faculty weird remark basis front look content answer annoying expects deliver answer person people mentality explain manner teacher understand quality child mark basis
322,2,infrastructure trending software lab
323,0,hour practical hour
324,2,ok ok
325,0,practicle hour
326,2,depends teacher knowledge
327,0,lab file
328,1,evaluation method content write file
329,1,electrotherapy practical hour rest fine
330,0,lab duration hour
331,2,lab evaluation pretty help lot
332,2,material lab
333,2,too much good
334,0,difficult understand experiment hour
335,2,lab
336,2,lab
337,1,lab activity satisfactory explaining view
338,2,help improving skill
339,2,lab nice
340,2,practical including evaluation learn practicals
341,2,laboratory provides knowledge practicals
342,0,practical insome lab mark
343,1,lab experiment informative
344,0,lab practically built
345,2,practical
346,2,super
347,2,university university seriously practical
348,0,time lab proper teacher practical knowledge le evaluation
349,0,poor equipment
350,0,lab practicals evaluation average lot change improvement
351,0,lab practical improved meet industrial standard
352,2,excellent
353,0,hard computer lab save data single
354,0,becouse lab teacher teach live project live project ovserved whatever teacher teaching lab usefull future life
355,0,timing lab syllabus vast proper revision
356,0,hate
357,0,practical teacher evaluate teacher section mark taking doe mark accordingly
358,2,lab evaluation satisfied
359,2,lab practical initially
360,0,improved
361,2,help practicals understand concept
362,2,lab
363,0,improve
364,2,lab evaluation
365,1,wa improved
366,0,teacher bother practical performed mark seeing
367,0,mark properly
368,1,practicals evaluation time
369,2,conducted proper
370,1,teacher supposed actual instrument lab
371,2,excellent hard teaching pretty
372,1,average
373,1,labsthe interact improve knowledge waysbefore giving explain experiment perform precaution
374,2,fine
375,0,lab practicals enhance practical knowledge
376,2,valuable support
377,0,sufficient lab equipment lab avilable equipment perfect
378,1,leaning lab lab instrument properly
379,2,lab helpful knowledge
380,0,according lab mark
381,2,lab practical help learn properly evalution help retain concept
382,2,lab practical excellent yes including evaluation
383,2,lab helpful
384,0,lab partiality
385,0,lab evaluation strict
386,0,lab evaluation strict
387,2,lab practicals
388,2,practicals pretty
389,2,evaluation lab regarding practicle
390,1,lab practical little faculty connecting lab practical outside world
391,2,i like it soo much
392,2,lab prof explains lab begin lab help experiment
393,0,strictly evaluated mark
394,2,nice
395,2,lab helpful knowledge
396,2,lab help lesson
397,2,lab practical
398,2,lab mark
399,0,lab facility
400,2,practical
401,1,library facility book le
402,2,library facility excellent term technique
403,1,seen universityalbeit behaviour library staff unprofessional time whimsically rude
404,2,library huge collection book author
405,2,hardworking
406,1,satisfied facility book limited database distribution
407,0,required liberal rule
408,2,library facility
409,2,library facility issue
410,1,faculty behave otherwise
411,2,library managed provide facility
412,0,required libral rule
413,2,job
414,0,book avilable library book le strength
415,0,book available
416,0,system library usually doe creates issue book
417,0,sometimes book available subject reserved
418,2,helpful
419,2,awesome peaceful relaxing atmosphere
420,0,book le according copy available
421,0,stock book required
422,2,cooperative
423,2,library facility provided excellent
424,2,facility
425,0,book available please provide
426,2,job
427,2,hardworking punctual
428,2,library awesome
429,2,they are good
430,2,library facility
431,2,library facility
432,2,library facility issuing time book increased
433,0,book provided issue period increased
434,1,never went there
435,0,book issuing time increased week
436,1,library provides facility teacher fine system wa wa directly increased
437,2,proper design
438,2,library contains book regarding course material cooperative library staff
439,2,book easily available accessable limit book issued increased
440,2,library facility book available library
441,0,library book available computer library hardly
442,0,book le
443,2,love
444,0,library facility hostelers
445,0,capacity library le compared size university
446,2,library providing excellent facility
447,2,provide various book increase knowledge understand concept
448,0,duration issuing book library changed week week
449,0,absolutely fine book time limit le return book issued fast
450,1,i dont think about
451,2,excellent
452,0,library facility improve bringing book
453,2,library facility strength university awesome
454,1,book time limit keeping book shorted
455,0,waste library study
456,1,book le book
457,2,nice timing library
458,1,keeping book topic social polity etc related subject knowledge country related issue
459,1,book heavily outnumbered compared library
460,0,insufficient book
461,2,word library facility simply awesome
462,2,timing hour
463,1,library facility collection book available book le subject
464,0,rough handling
465,0,book available
466,2,librery facility excellent
467,0,rough handling
468,1,yeah book available
469,2,library facilty
470,2,library facility maintains silence environment study sometimes strict required according
471,1,uncertain
472,2,reading book library
473,2,library facility
474,1,excellent sometimes lack book especially exam time
475,1,libary giving lot getting
476,1,library
477,1,library till
478,2,facility overcome
479,0,required text book available
480,1,library facility excellentbut limited book available book increased
481,0,library insufficent book
482,2,course book reference book
483,1,library vast wide variety book specimen copy book available
484,1,nice book availabe time
485,2,it is also good
486,0,library facility following rule using phone library
487,2,library facility
488,0,they is no problem with them
489,2,extracurricular activity excellent provides platform
490,2,extracurricular activity help divert mind study time university play role task
491,0,complete wastage time opinion strictly personal coincide
492,2,extracurricular activity increase mental physical ability
493,1,view
494,1,idea extracurricular activity
495,2,provides platform
496,2,coming extracurriculum activity university
497,2,university term extracurricular activity encouraging participate comfort level
498,2,various opportunity exposure
499,1,event happen university regularly announced prepare participation sometimes event conducted announcement
500,2,extracurricular activity held university provides platform improve groom
501,2,intersting enjoys lot chance showcase talent
502,2,refreshment
503,2,appreciable curricular activity getting platform
504,1,lack audience participant activity leave basis
505,2,activity appropriate
506,1,problm whenever university function world held alowed attend class miss class loose attendence attendence thanks
507,0,chance enjoy activity enjoy otherwise
508,0,extracurricular activies held class attend enjoy participate event
509,2,amazing help boost stamen
510,2,increasing confidence
511,2,best
512,2,extracurricular activity
513,1,teacher consider
514,2,extracurricular activity held university
515,2,super extracurricular activity held university effort field
516,2,ample extracurricular activity
517,1,exposure
518,1,participate
519,2,all are enough
520,2,activity
521,2,more than best
522,2,mark efficiently held university
523,2,provides platform
524,0,comment participiate reappear backlog time exam preparation
525,0,activity time participation
526,2,lot activity exposure game
527,2,activity conducted ample amount opportunity participate
528,2,excellent
529,1,not much interested
530,0,lecture time participate
531,0,participate activity cant activity im day scholar
532,2,extracurricular activity provide platform
533,2,thats great
534,1,hahahah
535,2,oppurtunities
536,2,opportunity utilize
537,2,university conducted extracurricular activity university feature
538,2,useful participate
539,2,excellent
540,2,lot event organized round growth nice
541,0,activity mark advertisement
542,2,very well
543,1,sufficient time participating activity
544,2,unbiased
545,2,opportunity talent
546,2,usefull excellent
547,1,lot extracurricular activites held university unknown viewed rating
548,2,useful physical activity improvement knowledge
549,0,sometimes study burden participate activity activity complusory course
550,2,help building university reputation
551,2,wa unique
552,2,awesomeextirdinary marvellous time attend
553,2,university
554,2,excellentyou providing facilties etc extra curricular activity
555,2,extracurricular activity
556,2,university offer alkot activity excellent explore
557,2,extracurricular activity help people talent skill
558,2,enjoying
559,2,happy encourages talent
560,2,better
561,0,coming sport encouraging politics sport especially
562,0,getting opportunity recommended getting
563,2,source interaction built leadership quilities overcome fault
564,2,sportive
565,2,university
566,2,extraordinary
567,2,decent teacher previous review mentioned lecture powerpoint heavy boring read chapter week study question book usually quiz chapter based homework question class receive
568,2,knowledgebale help interacting
569,2,university lot event lot extracurriclar activity
570,0,highneed accitivties noise polution university
571,2,held super
572,2,extracurricular activity held university enjoyable
573,2,university lot extracurricular help lot
574,2,university
575,0,note terrible useless matter worse textbook garbage course learn
576,2,wa time teaching course wa careful teaching wa ready help lot effort presentation try help try course giving real life example telling story taking level prof
577,2,challenging exam wa fair material learned lot
578,0,comment
579,0,snooze fest
580,1,test fairly teach beyond level
581,1,incredibly guy delivers lot passion lecture doe prepare class late stumble explanation lot rehearsal
582,0,hard understand stuff step gon na look mean step hard tell lecture slide half written inherited prof nice guy pretty funny helpful talk lecture wrote note wrote board
583,0,material easy cant understand attending lecture iclicker mark arent guy pretty awesome
584,1,accent
585,0,useful material lower gpa class unless specific
586,2,professor
587,2,amazing prof talking negotiable approachable office hour past accent explain passionately definitely taking course
588,0,lecture incomprehensible excusing accent mutter jump topic explains concept textbook youll fail unless course material core
589,0,late mention day final
590,0,agree else guy aweful worst prof doe mumble disorganized example arent hodge podge crap prof actually angry pay guy salary avoid couldnt run hell
591,0,prof hell consider comitting suicide register class bad explaining life horrible midterm look easy class confusing grade absolutely frustrated class run seriously
592,1,course wa okay wasnt wasnt terrible
593,1,material wa instructor wasnt engaging
594,1,assignment challenging wa complete
595,1,recommend course wa okay
596,1,instructor wa knowledgeable heshe teaching
597,1,course wa bit disorganized wa figure
598,1,assignment fair lot
599,1,learned course feel worth
600,1,im glad course wont taking
601,1,course wa mean enjoy im glad
602,0,course wa difficult struggled material
603,0,instructor wa knowledgeable subject matter wa teaching
604,0,course wa disorganized assignment fair wa set fail
605,0,recommend course wa waste time
606,0,instructor wa rude condescending heshe care
607,0,course material wa outdated irrelevant couldnt applied future career
608,0,course wa poorly organized difficult follow found lost confused
609,0,instructor wa boring material dry uninteresting found zoning class
610,0,course wa complete disaster
611,0,glad course wa worst experience academic career
612,2,definitely course chance
613,2,instructor wa engaging material found zoning class
614,2,course wa wellorganized easy follow lost confused
615,2,course material wa relevant wa apply learned personal life
616,2,course wa challenging wa learn lot instructor wa available help
617,2,instructor wa passionate subject matter hisher teaching enjoyed learning himher
618,2,definitely recommend course field
619,2,course wa wellorganized assignment fair wa progress throughout semester
620,2,enjoyed course material wa challenging engaging instructor wa knowledgeable helpful
621,2,course wa introduction subject matter learned lot feel confident knowledge future career
622,1,course wa mean enjoy im glad
623,1,im glad course wont taking
624,1,learned course feel worth
625,1,cost course wa fair wasnt cheap
626,1,course wa bit disorganized wa figure
627,1,instructor wa knowledgeable heshe teaching
628,1,recommend course wa okay
629,1,practice exam helpful werent perfect
630,1,material wa instructor wasnt engaging
631,1,exam course wa okay wasnt wasnt terrible
632,0,glad course wa worst experience academic career
633,0,course material wa outdated irrelevant couldnt applied future career
634,0,course wa easy learn
635,0,recommend exam course wa waste time
636,0,course wa expensive value price
637,0,instructor wa available answer question provide additional support
638,0,practice exam helpful gauging progress identifying improve
639,0,course wa disorganized difficult follow lost confused
640,0,instructor wa knowledgeable experienced heshe wa provide valuable insight exam material
641,0,exam course wa helpful preparing exam unprepared exam scoring poorly
642,2,exam course wa helpful preparing exam confident exam scoring
643,2,instructor wa knowledgeable experienced heshe wa provide valuable insight exam material
644,2,course wa wellorganized easy follow lost confused
645,2,practice exam helpful gauging progress identifying improve
646,2,instructor wa available answer question provide additional support
647,2,course wa affordable value price
648,2,definitely recommend exam course looking improve chance success exam
649,2,course wa challenging wa learn lot
650,2,course material wa relevant wa apply learned personal life
651,2,definitely course chance
652,1,hope review helpful
653,1,im glad class wont taking
654,1,recommend class musttake
655,1,class wa valuable learning experience wasnt lifechanging
656,1,instructor wa knowledgeable helpful
657,1,class wa organized assignment instructor wa available answer question
658,1,classmate okay werent friendliest people met werent mean
659,1,class size wa fine wasnt
660,1,lecture okay instructor wa knowledgeable heshe wasnt engaging speaker
661,1,lab wa wa apply learned class wa bit timeconsuming
662,1,homework wa okay wasnt wasnt easy
663,0,glad class
664,0,recommend class
665,0,class wa valuable learning experience benefit
666,0,instructor wa available answer question provide help
667,0,class wa disorganized assignment unclear
668,0,classmate friendly helpful
669,0,class size wa wa
670,0,lecture boring instructor wa engaging
671,0,lab wa messy timeconsuming
672,0,homework wa time
673,2,glad class
674,2,definitely recommend class
675,2,class wa valuable learning experience benefit future career
676,2,instructor wa available answer question provide help
677,2,class wa wellorganized assignment concise
678,2,classmate friendly helpful
679,2,lecture engaging instructor wa knowledgeable enthusiastic
680,2,lab wa handson allowed apply learned class realworld situation
681,2,homework wa challenging helpful reinforcing material covered class
682,1,instructor course evaluation improve teaching meet
683,1,encouraged provide honest constructive feedback course evaluation
684,1,course evaluation caution factor considered decision instructor course
685,1,course evaluation perfect valuable tool improving learning experience
686,1,course evaluation educational process
687,0,course evaluation decision instructor course
688,0,course evaluation punish instructor low rating rating fair
689,0,course evaluation biased personality personal experience
690,0,course evaluation difficult interpret analyze
691,0,course evaluation timeconsuming instructor
692,2,course evaluation help ensure course meeting
693,2,course evaluation help identify struggling additional support
694,2,course evaluation voice learning process allow share course improved
695,2,course evaluation provide instructor feedback teaching help improve effectiveness
696,2,course evaluation valuable tool improving learning experience
697,1,average experience course wasnt wasnt terrible
698,1,course material wa decent wasnt read wa informative
699,1,instructor wa fine wa knowledgeable engage class
700,1,course wa okay learn groundbreaking wa introduction material
701,0,terrible experience course recommend
702,0,course material wa boring feel learned
703,0,instructor wa helpful wa busy time answer question
704,0,course wa difficult learn im disappointed
705,2,course material wa challenging learned
706,2,experience course definitely recommend
707,2,instructor wa fantastic wa knowledgeable engaging available help
708,2,course wa amazing learned im glad
709,2,lecture material wellorganized easy follow
710,2,wa engaging enthusiastic
711,2,material comprehensive covered topic
712,2,material challenging difficult
713,2,material relevant career goal
714,2,material helpful preparing exam assignment
715,2,material valuable resource learning subject
716,2,material wellwritten easy understand
717,2,material visually appealing engaging
718,2,material pleasure
719,0,lecture material poorly organized difficult follow
720,0,wa boring uninspiring
721,0,material incomplete cover topic
722,0,material easy challenge
723,0,material relevant career goal
724,0,material helpful preparing exam assignment
725,0,material poor resource learning subject
726,0,material poorly written difficult understand
727,0,material visually unappealing unengaging
728,0,material chore
729,1,lecture material adequate
730,1,wa average
731,1,material sufficient
732,1,material okay
733,1,material werent terrible
734,1,material functional
735,1,material job
736,1,material
737,1,material worst
738,1,material neither
739,2,wa knowledgeable passionate subject
740,2,wa concise delivery
741,2,wa engaging interactive
742,2,wa patient helpful
743,2,wa fair unbiased
744,2,wa role model
745,2,wa supportive encouraging
746,2,wa available extra help outside class
747,2,material relevant
748,2,created positive productive learning environment
749,0,wa knowledgeable subject
750,0,wa unclear disorganized delivery
751,0,wa boring uninspiring
752,0,wa impatient rude
753,0,wa unfair biased
754,0,wa bad role model
755,0,wa unsupportive discouraging
756,0,wa available extra help outside class
757,0,material boring irrelevant
758,0,created negative unproductive learning environment
759,1,wa average
760,1,wa adequate
761,1,wa okay
762,1,wa werent terrible
763,1,wa functional
764,1,job
765,1,wa
766,1,wa worst
767,1,wa neither
768,2,grading wa fair consistent
769,2,wa grading criterion
770,2,wa willing struggling
771,2,provided opportunity extra credit
772,2,grading system motivated
773,2,grading system helped learn material
774,2,grading system wa fair
775,2,grading system wa transparent easy understand
776,2,grading system wa reflection learning
777,2,wa fairly rewarded effort
778,0,grading wa unfair inconsistent
779,0,wa unclear grading criterion
780,0,opportunity extra credit
781,0,grading system discouraged
782,0,wa unwilling struggling
783,0,grading system help learn material
784,0,grading system wa unfair
785,0,grading system wa opaque difficult understand
786,0,grading system wa reflection learning
787,0,wa fairly rewarded effort
788,1,grading wa neither fair unfair
789,1,wa neither unclear grading criterion
790,1,opportunity extra credit
791,1,wa sometimes willing struggling
792,1,grading system sometimes motivated
793,1,grading system sometimes helped learn material
794,1,grading system wa sometimes fair
795,1,grading system wa sometimes transparent easy understand
796,1,grading system wa sometimes reflection learning
797,1,wa sometimes fairly rewarded effort
798,2,enjoyed lecture class wa knowledgeable passionate subject material wa relevant
799,2,learned lot lecture class wa concise delivery material easy understand
800,2,wa community lecture class wa supportive encouraging friendly helpful
801,2,wa prepared exam lecture class covered material plenty practice
802,2,definitely recommend lecture class wa learning experience enjoyed
803,0,enjoy lecture class wa boring uninspiring material wa dry uninteresting
804,0,learn lecture class wa unclear disorganized delivery material difficult understand
805,0,wa lecture class wa unsupportive discouraging unfriendly unhelpful
806,0,wa unprepared exam lecture class cover material practice
807,0,recommend lecture class wa terrible learning experience hated
808,1,lecture class wa okay wa average material wa neither boring
809,1,learned bit lecture class wa material wa challenging
810,1,wa lecture class name stranger
811,1,wa prepared exam lecture class covered material practice
812,1,neither recommend recommend lecture class wa perfectly average learning experience
813,2,lecture calculus wa informative helpful wa concise material easy understand
814,2,lecture physic wa engaging wa passionate subject alive
815,2,lecture chemistry wa wellorganized easy follow wa thorough meticulous understood material
816,2,lecture biology wa relevant realworld example illustrate concept material relevant life
817,2,lecture literature wa thoughtprovoking stimulating challenged critically material encouraged share idea
818,0,lecture calculus wa dry boring wa monotone uninspiring material difficult understand
819,0,lecture physic wa confusing disorganized wa unclear difficult follow
820,0,lecture chemistry wa tedious repetitive material difficult stay focused
821,0,lecture biology wa outdated irrelevant outdated example illustrate concept material irrelevant life
822,0,lecture literature wa subjective biased imposed personal view material allow form opinion
823,1,lecture calculus wa okay wa material wa engaging
824,1,lecture physic wa average wa particularly inspiring wa terrible
825,1,lecture chemistry wa functional served purpose wa particularly memorable
826,1,lecture biology wa adequate wa purpose learning material wa special
827,1,lecture literature wa unremarkable wa particularly bad wa
828,2,subject material wellwritten engaging
829,2,subject material comprehensive cover topic
830,2,subject material easy understand follow
831,2,subject material relevant
832,2,subject material helpful learn achieve goal
833,0,subject material poorly written difficult understand
834,0,subject material incomplete cover topic
835,0,subject material outdated reflect research
836,0,subject material boring engage
837,0,subject material irrelevant
838,1,subject material adequate meet minimum requirement
839,1,subject material particularly bad
840,1,subject material mixed strength weakness
841,1,subject material improved change
842,1,subject material progress developed
843,2,clear
844,2,comprehensive
845,2,engaging
846,2,helpful
847,2,interesting
848,0,confusing
849,0,incomplete
850,0,irrelevant
851,0,boring
852,0,difficult
853,1,adequate
854,1,okay
855,1,progress
856,1,meet requirement
857,1,improved
858,2,lecture wa informative
859,2,wa engaging passionate subject matter
860,2,learned lot class
861,2,wa engaged material
862,2,definitely recommend class
863,0,lecture wa boring
864,0,wa monotone hard follow
865,0,learn class
866,0,wa sitting hour listening talk
867,0,recommend class
868,1,lecture wa okay
869,1,wa fine
870,1,learn feel wasted time
871,1,wa lecture falling asleep
872,1,im class
873,2,getting gradesscores requires hard dedication willingness learn
874,2,rewarding experience hard pay form grade
