sentiment,reviews,translated_reviews
1,the staff is highly punctual ad interactive and encourage students to participate in the class,staf sangat interaktif iklan tepat waktu dan mendorong siswa untuk berpartisipasi dalam kelas
1,"staff and faculty members are always available for interaction, very punctual and delivery of lecture can be improved",staf dan anggota fakultas selalu tersedia untuk interaksi sangat tepat waktu dan pengiriman kuliah dapat ditingkatkan
1,good delivery,pengiriman yang bagus
1,"our university is good in terms of lecture delivery,interaction and punctuality",universitas kami baik dalam hal pengiriman kuliah interaksi dan ketepatan waktu
1,very good,sangat bagus
1,"interaction satisfied, lecture delivery good,punctuality always on time",interaksi puas pengiriman kuliah baik ketepatan waktu selalu tepat waktu
1,Excellent but it depends upon teacher,luar biasa tapi itu tergantung pada guru
1,it is ok,tidak apa apa
-1,some teachers aren't doing their jobs in very well manner,beberapa guru tidak melakukan pekerjaan mereka dengan sangat baik
1,Some of the teachers are not well experienced but they are interactive and helpful and punctual.,beberapa guru tidak berpengalaman tetapi mereka interaktif dan bermanfaat dan tepat waktu
0,not all the teachers are teaching well but it's fine,tidak semua guru mengajar dengan baik tetapi tidak apa apa
1,EXCELLENT,bagus sekali
1,"The faculty is good ,interaction between student and teacher is also good",fakultasnya baik interaksi antara siswa dan guru juga bagus
-1,not good,tidak baik
-1,some of our faculty member are not so experienced that's why most of the time we are facing problems subjects like CSE(c++),beberapa anggota fakultas kami tidak begitu berpengalaman itulah sebabnya sebagian besar waktu kami menghadapi masalah subjek seperti cse c 
1,its to good,itu untuk kebaikan
1,everything is good,semuanya baik
-1,"everything is good but when coming to some lectures who dont have a good grip on subject,they dont behave well with students and they dont even teach all the concepts in the subject.",semuanya baik tetapi ketika datang ke beberapa kuliah yang tidak memiliki cengkeraman yang baik pada subjek mereka tidak berperilaku baik dengan siswa dan mereka bahkan tidak mengajarkan semua konsep dalam subjek
0,"everything was good regarding to university but, some lecturers don't have grip on the subject and lag in the teaching",semuanya baik tentang universitas tetapi beberapa dosen tidak memiliki cengkeraman pada subjek dan kelambatan dalam pengajaran
0,normal,normal
1,teaching activities of our university is good. i am satisfied with it.,kegiatan mengajar universitas kami baik saya puas dengan itu
1,everything is good for faculty,semuanya baik untuk fakultas
1,satisfactory,memuaskan
0,good but not good . sir improve the subject,bagus tapi tidak bagus pak meningkatkan topik pembicaraan
0,"The university is good but it also has a long way to go. More teachers should have their PhD and college fests related to academic curriculum must be improved to a great extent and must be managed properly.The interaction is good, lecture delivery needs more lucidity. The punctuality is top notch.",universitas ini bagus tetapi juga memiliki jalan panjang lebih banyak guru harus memiliki gelar phd dan perguruan tinggi yang terkait dengan kurikulum akademik harus ditingkatkan sebagian besar dan harus dikelola dengan benar interaksi baik pengiriman kuliah membutuhkan lebih banyak kejernihan ketepatan waktu adalah kedudukan tertinggi
1,"our university is good in punctuality,lecture delivery but it is not good in terms of interaction",universitas kami baik dalam waktu dekat pengiriman kuliah tetapi tidak baik dalam hal interaksi
-1,"interaction is very less ,when it comes to lecture delivery its fine but the coordination not there between the lecturers",interaksi sangat kurang ketika datang untuk pengiriman kuliah baik baik saja tetapi koordinasi tidak ada di antara para dosen
1,All lectures are giving their best to teach the students,semua kuliah memberikan yang terbaik untuk mengajar siswa
-1,our university is very good but in terms of interaction of teachers wd students is not at all fair because they interact wd only students understands his/her teaching they don't make remaining students to understand the topic,universitas kami sangat bagus tetapi dalam hal interaksi antara guru dengan mahasiswa tidak adil sama sekali karena mereka hanya berinteraksi dengan mahasiswa yang memahami cara mengajar mereka dan tidak membantu sisanya untuk memahami topik tersebut
1,The university consists of a whole world in itself.It is diverse and manages to conduct all events properly.I love being the part of this university where we get equal and all opportunities in all respects and fields.,universitas terdiri dari seluruh dunia itu sendiri ini beragam dan berhasil melakukan semua acara dengan benar saya senang menjadi bagian dari universitas ini di mana kita mendapatkan yang setara dan semua peluang dalam segala hal dan bidang
1,"teachers are pretty interactive,But it all depends on the student to gain as much as knowledge he can from the teacher.Teachers are punctual and very helpful during exams time.",guru cukup interaktif tetapi semuanya tergantung pada siswa untuk mendapatkan sebanyak yang dia bisa dari guru pencuri adalah tepat waktu dan sangat membantu selama waktu ujian
0,teaching delivery is good .but it is better to reduce there speed of lecture delivery to understand the student better,pengajaran pengajarannya baik tapi lebih baik mengurangi kecepatan pengiriman kuliah untuk memahami siswa dengan lebih baik
1,"overall rating on this activity is 4.5/5 .very nice teaching and interaction between students and lectures was good, every time there will be new and fresh style in delivering the lectures ,thanks.",peringkat keseluruhan pada kegiatan ini adalah 455 pengajaran dan interaksi yang sangat bagus antara siswa dan kuliah bagus setiap kali akan ada gaya baru dan segar dalam menyampaikan kuliah terima kasih
0,"excellent, but reduse the speed of teaching ,up to understand the students",luar biasa tetapi gunakan kembali kecepatan mengajar untuk memahami siswa
0,"teaching is ok but the interaction with the students need to improve, i mean they have to focus on dull students more than intelligents....",mengajar tidak apa apa tetapi interaksi dengan siswa perlu ditingkatkan maksud saya mereka harus lebih fokus pada siswa yang membosankan daripada kecerdasan 
1,Interaction is good but it should be more ...the rest is too perfect,interaksi itu bagus tetapi harus lebih  sisanya terlalu sempurna
1,"teachers are good in subject,and punctuality",guru bagus dalam mata pelajaran dan ketepatan waktu
0,Everything would be fine if there are less number of students in our btech CSE.,semuanya akan baik baik saja jika ada lebih sedikit siswa di btech cse kami
0,faculties are doing quite well but need more senior lecturers.,fakultas baik baik saja tetapi membutuhkan lebih banyak dosen senior
1,satisfied,puas
1,"examination department is not good, teaching is quite good, I cant get extra time for extra knowledge, interaction is good",departemen pemeriksaan tidak baik mengajar cukup baik saya tidak bisa mendapatkan waktu ekstra untuk pengetahuan tambahan interaksi itu bagus
1,Well and Good,baik dan bagus
0,university management is extraordinary but some of the faculty is very bad,manajemen universitas luar biasa tetapi beberapa fakultas sangat buruk
0,"some lectures are excellent,but not everyone",beberapa kuliah sangat baik tetapi tidak semua orang
1,It is very good learning in this university,ini adalah pembelajaran yang sangat bagus di universitas ini
0,it is boring,ini membosankan
0,teaching is good but some lecturers are showing partiality between south people and north people,mengajar itu bagus tetapi beberapa dosen menunjukkan keberpihakan antara orang selatan dan orang utara
0,"teaching is good but some teachers are not able to interact properly and are not able to clear the concepts properly, teachers are punctual.",mengajar itu baik tetapi beberapa guru tidak dapat berinteraksi dengan baik dan tidak dapat menghapus konsep dengan benar guru tepat waktu
1,"Everything is very good. Interaction part is something like teachers mostly interact with each and every student, lecture delivery is very good and punctuality always maintains.",semuanya sangat bagus bagian interaksi adalah sesuatu seperti guru yang sebagian besar berinteraksi dengan setiap siswa pengiriman kuliah sangat baik dan ketepatan waktu selalu dipertahankan
1,"I am very much satisfied with teaching faculty interms of interaction,lecture delivery, punctuality etc",saya sangat puas dengan fakultas pengajar dalam hal interaksi penyampaian materi kuliah ketepatan waktu dan sebagainya
-1,they are showing partiality between north indians and south indians,mereka menunjukkan keberpihakan antara india utara dan india selatan
1,"Interaction is satisfying, Lecture delivery is Good, Punctuality is Excellent",interaksi memuaskan pengiriman kuliah baik ketepatan waktu sangat baik
-1,staff is showing partiality between north indians and south indians,staf menunjukkan keberpihakan antara india utara dan india selatan
1,excellent university the mode of teaching is completely different than any other university in india. lecturers are very friendly with every one they interact just like friends and they are very punctual,universitas yang sangat baik mode pengajaran sama sekali berbeda dari universitas lain di india dosen sangat ramah dengan setiap orang yang mereka berinteraksi seperti teman dan mereka sangat tepat waktu
0,lecture delivery and punctuality was good but the interaction with students was not good.,pengiriman kuliah dan ketepatan waktu bagus tetapi interaksi dengan siswa tidak baik
0,punctuality and lecture is good here but interaction isn't good.,ketepatan waktu dan kuliah bagus di sini tetapi interaksi tidak bagus
1,good enough,cukup baik
1,"In this university there is good interaction with the students, Teachers in this university can deliver the lectures effectively, There is good punctuality in this university",di universitas ini ada interaksi yang baik dengan para siswa guru di universitas ini dapat memberikan kuliah secara efektif ada ketepatan waktu yang baik di universitas ini
1,Very good indeed.,memang sangat bagus
1,"Teaching is excellent,but lecture delivery is not up to the mark.Punctuality is good",pengajaran sangat baik tetapi pengiriman kuliah kurang memenuhi harapan kecermatan waktu bagus
0,interaction of some faculty was good but not all faculty..,interaksi beberapa fakultas bagus tetapi tidak semua fakultas 
1,"good, and also like the teaching style",bagus dan juga menyukai gaya mengajar
1,"Interaction between students and teachers is good ,The lectures delivery is fine, punctuality is good",interaksi antara siswa dan guru baik pengiriman kuliah baik baik saja ketepatan waktu itu bagus
1,not bad,tidak buruk
1,Its Quite Good,itu cukup baik
0,teaching is good some lecturers are showing partiality between south people and north people,mengajar itu baik beberapa dosen menunjukkan keberpihakan antara orang selatan dan orang utara
0,I WAS A STUDENT OF A BOARDING SCHOOL .....(jnv) I STUDIED FOR 7 YEARS THERE RESIDING IN HOSTEL ..NOW LIVING IN LPU IS SAME LIKE THAT..AND STILL MORE SAME AND PUNCTUALITY IS SHOWN HERE BY BOTH TEACHERS AND STUDENTS...AND ALSO BY THE STAFF.. SECURITY IS ABOVE 90%(IN CASE OF STUDENT IS WELL MANURED) ....CLASSES REGULAR ....SPORTS DAILY.....PARTICIPATION WELL/.......QUALITY BELOW AVERAGE,saya adalah seorang siswa sekolah asrama  jnv saya belajar selama 7 tahun di sana yang tinggal di asrama  sekarang tinggal di lpu sama seperti itudan masih lebih sama dan ketepatan waktu ditampilkan di sini oleh kedua guru maupun siswa  dan juga oleh staf  keamanan di atas 90dalam kasus siswa dikotori dengan baik  kelas reguler  olahraga setiap hari  partisipasi sumur kualitas di bawah rata rata
1,All terms are good regarding the university activities,semua istilah baik mengenai kegiatan universitas
1,intraction is good and lecture delivery also good and then punctuality is also is good,interaksi yang baik dan penyampaian materi kuliah yang baik adalah hal yang bagus selain itu kepatuhan pada waktu juga baik
1,all the given terms are good regarding the university,semua istilah yang diberikan baik tentang universitas
1,All the terms are good regarding the university activities.,semua persyaratan baik mengenai kegiatan universitas
-1,Some of the teacher are un experienced. Also they are unfair and baised. In fact many of the teachers are having few or no experience about the subject,beberapa guru tidak berpengalaman mereka juga tidak adil dan memiliki kecenderungan bias bahkan banyak guru yang memiliki sedikit atau tidak memiliki pengalaman tentang mata pelajaran tersebut
1,IT IS GOING GOOD,itu berjalan baik
0,content of courses are average,konten dari kursus tersebut ratarata
1,All courses material provide very good knowledge in depth .,semua materi kursus memberikan pengetahuan yang sangat baik secara mendalam
-1,"Content of course is perfectly in line with the teaching philosophy that is being perpetuated here i.e cramming,rote learning.",konten tentu saja benar benar sejalan dengan filosofi pengajaran yang diabadikan di sini yaitu menjejalkan belajar hafalan
1,content of courses improves my knowledge,konten kursus meningkatkan pengetahuan saya
1,This semester university has provide best teachers,universitas semester ini telah menyediakan guru terbaik
-1,Needs some improvement,membutuhkan beberapa perbaikan
0,Knowledge and depth of the course is good but while coming to the material it's not upto the mark.,pengetahuan dan kedalaman kursus itu bagus tetapi saat datang ke materi itu tidak sesuai dengan sasaran
0,"Knowledge,depth of course is good but course material are not upto the mark",pengetahuan kedalaman tentu saja bagus tetapi materi kursus tidak sesuai dengan sasaran
1,course content is knowledgeable,konten kursus berpengetahuan luas
-1,Content of the courses is good but some courses need improvement. Course material is not upto the mark.,konten kursus bagus tetapi beberapa kursus perlu ditingkatkan bahan kursus tidak sesuai dengan sasaran
-1,Material of the course is not good enough,bahan kursus tidak cukup baik
-1,sometimes proper course material is not required.,terkadang materi kursus yang tepat tidak diperlukan
1,Easily available course material with sufficient knowledge gaining,materi kursus yang mudah tersedia dengan mendapatkan pengetahuan yang cukup
1,"The materials or links provided for study purpose is good, clarity in depth of courses but again it differs from teacher to teacher.",bahan atau tautan yang disediakan untuk tujuan studi baik kejelasan dalam kursus tetapi sekali lagi berbeda dari guru ke guru
1,The course notes are very knowledgeable and proper.,catatan kursus sangat berpengetahuan dan tepat
1,content of the courses are update and mostly based on current technology.,konten kursus diperbarui dan sebagian besar berdasarkan teknologi saat ini
-1,Teachers are not giving depth of course . They trying to cover there work only .,guru tidak memberikan kedalaman tentu saja mereka mencoba menutupi pekerjaan saja di sana
1,every thing is fine,semuanya baikbaik saja
1,It's appreciable,ini cukup besar
-1,The books that are recommended do not contain appropriate content; leads the students to depend on slides given by teachers. Hence the knowledge remains superficial,buku buku yang disarankan tidak mengandung konten yang sesuai membuat para siswa bergantung pada slide yang diberikan oleh guru karenanya pengetahuan tetap dangkal
1,Awesome,luar biasa
1,It is proper,itu tepat
1,Courses are very good and useful,kursus sangat bagus dan bermanfaat
1,Everything is fine. Every thing is taught in depth.Even a single point is elaborated enough to understand.,semuanya baikbaik saja segala sesuatu diajarkan secara mendalam bahkan satu poin diuraikan cukup untuk dipahami
1,content is good enough,konten cukup baik
1,the material provided is beneficial and provides much knowledge,materi yang disediakan bermanfaat dan memberikan banyak pengetahuan
1,fully knowledgeable,sepenuhnya berpengetahuan
1,well planned,terencana dengan baik
1,ok,oke
1,content is very knowledgable and gives us huge knowledge of every subject,konten sangat berpengetahuan dan memberi kita pengetahuan besar tentang setiap subjek
1,"content is enough, we do not need more.",konten sudah cukup kami tidak perlu lebih banyak
0,good quallity content but some teachers do not upload ppts on time,konten kemenangan yang baik tetapi beberapa guru tidak mengunggah ppt tepat waktu
1,course content is good,konten kursus bagus
1,the content of the course is knowledgeable,isi kursus ini berpengetahuan luas
0,subjects are appropriate but much depth is required as syllabus includes only basics not the details,subjek sesuai tetapi banyak kedalaman diperlukan karena silabus hanya mencakup dasar dasarnya bukan detailnya
-1,some courses are irrelevant as they are not related to my stream.,beberapa kursus tidak relevan karena tidak terkait dengan aliran saya
-1,there are many courses which are irrelevant to the branch. some topics are not covered. There is no proper material for any course,ada banyak kursus yang tidak relevan dengan cabang beberapa topik tidak tercakup tidak ada bahan yang tepat untuk kursus apa pun
1,not too bad,lumayan
1,course material is perfect,bahan kursus sempurna
1,IP is provided to the students which is very helpful for the students.,ip diberikan kepada siswa yang sangat membantu bagi siswa
0,depth of course is less on the other hand knowledge and material is good,kedalaman tentu saja kurang di sisi lain pengetahuan dan materi itu bagus
-1,content does not provide deep knowledge,konten tidak memberikan pengetahuan yang mendalam
-1,sometime it is irrelevent with the ongoing courses.,kadang kadang tidak relevent dengan kursus yang sedang berlangsung
0,average(in one term there should be only two major subjects based on numerical),rata rata dalam satu istilah seharusnya hanya ada dua subjek utama berdasarkan numerik
0,some of them are very helpful and knowledgeable and some are just formality,beberapa dari mereka sangat membantu dan berpengetahuan luas dan beberapa hanya formalitas
0,"very knowledgeable, some subjects do not have dedicated material like books available",sangat berpengetahuan beberapa subjek tidak memiliki materi khusus seperti buku yang tersedia
1,optimum content,konten optimal
-1,it is not appropriate,itu tidak pantas
1,Satisfied knowedgeable and proper course material,bahan kursus yang dapat diketahui dan tepat
1,"Good, but there should be at least one a practical subject in every semester",bagus tetapi harus ada setidaknya satu subjek praktis di setiap semester
-1,it is not very deep,itu tidak terlalu dalam
1,course contents are very much relevant to our courses,isi kursus sangat relevan dengan kursus kami
0,The course structure is good and follows todays technology. Some subjects portion are too vast and are difficult to cover in 1 sem,struktur kursus bagus dan mengikuti teknologi saat ini beberapa bagian subjek terlalu luas dan sulit ditutup dalam 1 sem
1,content of the course is good,konten kursus itu bagus
-1,syllabus is not in debth,silabus tidak dalam keadaan utuh
1,as per the courses all the sub are providing worth knowledge,sesuai kursus semua sub memberikan pengetahuan yang layak
0,i dont know,aku tidak tahu
1,regarding the courses everything is good,mengenai kursus semuanya bagus
1,coming to the courses these are very well planned... and it all depends on the lectures.,datang ke kursus ini direncanakan dengan sangat baik  dan semuanya tergantung pada kuliah
1,up to the mark,sampai ke sasaran
0,content of course is ample but depth must be more,konten tentu saja cukup tetapi kedalaman harus lebih
0,COURSE IS GOOD NO PROPER COURSE MATERIAL,kursus baik tidak ada materi kursus yang tepat
-1,Content of the courses should be changed a bit. More of industry oriented feature like Linux and GitHub must be implemented. Proper detailing and advanced knowledge is required and is to be instilled in the students.The course material is good.,konten kursus harus sedikit diubah lebih banyak fitur berorientasi industri seperti linux dan github harus diimplementasikan detail yang tepat dan pengetahuan lanjutan diperlukan dan harus ditanamkan pada siswa materi kursus bagus
1,"good it was knowledgeable,depth of the course is good,there is but proper course materials in only for some subjects",bagus itu berpengetahuan kedalaman kursus itu bagus hanya ada bahan kursus yang tepat hanya untuk beberapa subjek
1,very good and you can also increase the standard of Courses,sangat bagus dan anda juga dapat meningkatkan standar kursus
1,The courses available in the university have got a scope and the teaching of these courses goes on with the point of view of bringing out the best from the student by indulging them in different activities and projects.,kursus yang tersedia di universitas memiliki ruang lingkup dan pengajaran kursus ini berlangsung dengan sudut pandang mengeluarkan yang terbaik dari siswa dengan memanjakan mereka dalam berbagai kegiatan dan proyek
1,content of course is more than enough to get the basics of that particular subject.,konten tentu saja lebih dari cukup untuk mendapatkan dasar dasar subjek tertentu
0,courses are also good .but lt of subjects in cse departments at 1st year it feels like burden upon us,kursus juga bagus tapi subjek di departemen cse pada tahun pertama rasanya seperti beban bagi kami
1,my rating in this is 4/5,peringkat saya dalam hal ini adalah 45
0,"good,they work very hard for us",bagus mereka bekerja sangat keras untuk kita
-1,syllabus is more which required time ..it should b less so that student can proper concentrate getting the knowlegde instead of just covering the syllabusgood,silabus yang terlalu banyak membutuhkan waktu yang banyak sebaiknya jumlah silabus dikurangi agar para siswa dapat fokus sepenuhnya pada pemahaman materi daripada hanya menyelesaikan silabus
-1,when compared to other universities we need better material and exposure.,jika dibandingkan dengan universitas lain kita membutuhkan materi dan paparan yang lebih baik
-1,the content of the course should be increased with the depth.,isi kursus harus ditingkatkan dengan kedalaman
1,content provided by you is excellent so that we learnt more and more about that particular subject,konten yang disediakan oleh anda sangat baik sehingga kami belajar lebih banyak tentang subjek tertentu
1,content of course is appropriate,konten tentu saja sesuai
-1,The content of course should be increase with depth,konten tentu saja harus meningkat dengan kedalaman
-1,In my opinion very less content is their in our syllabus..it will be good if there is more syllabus and depth included in our syllabus,menurut pendapat saya sangat kurang konten adalah mereka dalam silabus kamitidak akan lebih baik jika ada lebih banyak silabus dan kedalaman yang termasuk dalam silabus kami
-1,some of the faculty are not uploading ppts,beberapa fakultas tidak mengunggah ppt
1,it is good learning these courses,itu bagus belajar kursus kursus ini
-1,its very tough and very diffcult to understand,sangat sulit dan sangat sulit untuk dipahami
0,yeah! well some of the faculty are not teaching well but the schedule of the university are superb ... and university asked feedback from us .that is really helpful,ya baik beberapa fakultas tidak mengajar dengan baik tetapi jadwal universitas luar biasa  dan universitas meminta umpan balik dari kami itu sangat membantu
0,The content of the courses are good but depth of courses are not enough to get the good concepts.,isi kursus bagus tetapi kedalaman kursus tidak cukup untuk mendapatkan konsep yang baik
1,content is sufficient for us,konten sudah cukup bagi kami
0,"Content of courses are good, these are very knowledgeable, depth of course is also there but sometimes proper course material is not there.",konten kursus bagus ini sangat berpengetahuan kedalaman tentu saja juga ada tetapi kadang kadang materi kursus yang tepat tidak ada
1,"I like communication classes,courses are good",saya suka kelas komunikasi kursus bagus
1,they are giving good knowledge for us,mereka memberikan pengetahuan yang baik untuk kita
1,"Knowledgeable is Good, Depth of course is satisfying, proper course material is also good",berpengetahuan luas kedalaman tentu saja memuaskan materi kursus yang tepat juga bagus
1,every thing is good subjects have a very good depth almost all the books are available in the library and more than that 4/5,setiap hal adalah subjek yang baik memiliki kedalaman yang sangat baik hampir semua buku tersedia di perpustakaan dan lebih dari itu 45
1,Its nice .,itu bagus
1,"The material provided in this university is depth of course, The courses in this university is knowledgeable",materi yang disediakan di universitas ini tentu saja kursus di universitas ini berpengetahuan luas
1,The depth of course is very much deep. According to me its very essential,kedalaman tentu saja sangat dalam menurut saya itu sangat penting
0,Some subjects are good and predictable.Remaining courses are not satisfactory,beberapa subjek bagus dan dapat diprediksi kursus yang tidak memuaskan
0,depth of course was good ....providing a basic knowledge not so deep in subjects....at least they should provide deep knowledge and syllabus in core subjects...,kedalaman tentu saja bagus  memberikan pengetahuan dasar yang tidak begitu dalam dalam subjek  setidaknya mereka harus memberikan pengetahuan dan silabus yang mendalam pada subjek inti 
1,I like this very much because every subject is linked up with real life situations and every thing in the subject is use full,saya sangat menyukai ini karena setiap subjek dihubungkan dengan situasi kehidupan nyata dan setiap hal dalam subjek digunakan penuh
0,"depth of the course are depended on the level of student intake, course material is delivered after the class in UMS",kedalaman kursus tergantung pada tingkat asupan siswa materi kursus disampaikan setelah kelas di ums
1,Pretty Good,cukup bagus
-1,not good enough.. we want something more.,tidak cukup baik  kami menginginkan sesuatu yang lebih
-1,LESS TIME FOR STUDY ...LESS TIME FOR PAPER ATTEMTING...LESS TIME FOR EVERY THING ....LESS KNOWLEGE.....LESS DEPTH OF COURSE .....BUT PROPER COURSE MATERIAL ACCORDING TO EXAM,lebih sedikit waktu untuk belajar  lebih sedikit waktu untuk melihat kertas  lebih sedikit waktu untuk setiap hal  lebih sedikit pengetahuan  tentu saja kurang kedalaman  tapi materi kursus yang tepat menurut ujian
0,knowledge is maximum gained by reading books also the teachers explain depth if we are interested to know about it.,pengetahuan diperoleh maksimal dengan membaca buku juga para guru menjelaskan kedalaman jika kita tertarik untuk mengetahuinya
-1,HAVE TO IMPROVE,perlu melakukan perbaikan
0,every one can tell depth of course but some one only give notes,setiap orang dapat mengetahui kedalaman tentu saja tetapi seseorang hanya memberikan catatan
1,we are getting maximum knowledge,kami mendapatkan pengetahuan maksimal
1,Knowledge is maximum gained by reading books and also teachers explain the concept in depth.,pengetahuan diperoleh maksimal dengan membaca buku dan juga guru menjelaskan konsep secara mendalam
0,Its fine but it should focus more towards practical knowledge rather than content based. It would be helpful for us.,ini bagus tetapi harus lebih fokus pada pengetahuan praktis daripada berbasis konten akan sangat membantu bagi kami
1,examination pattern is good,pola pemeriksaan bagus
1,"Exam pattern is up to the mark and the Cgpa depends on the various marks distributions like ca, mte etc which is very nice as compare to other institutions. Paper checking does not depend on length of ques but on the material which is the best part of it.",pola ujian sudah memenuhi standar dan cgpa bergantung pada distribusi nilai yang beragam seperti ca mte dll yang sangat bagus dibandingkan dengan institusi lainnya penilaian kertas ujian tidak tergantung pada panjang pertanyaan tetapi pada materi yang dijawab yang merupakan bagian terbaiknya
-1,Again the university tests students of their ability to memorize stuff. Questions should emphasize more on concepts rather than testing brain's cramming storage house.,sekali lagi universitas menguji siswa dari kemampuan mereka untuk menghafal barang pertanyaan harus lebih menekankan pada konsep daripada menguji rumah penyimpanan yang menjejalkan otak
1,I like the question pattern,saya suka pola pertanyaan
